NOME,ARTISTA,GENERO,ALBUM,ANO LANCAMENTO
Pirata e Tesouro,Ferrugem,Pagode e Samba,Prazer eu sou Ferrugem,2018
Pra você acreditar,Ferrugem,Pagode e Samba,Prazer eu sou Ferrugem,2018
Duas metades,Jorge e Mateus,Sertanejo,A Hora É Agora,2012
Vou voando,Jorge e Mateus,Sertanejo,Como. Sempre Feito. Nunca,2016
A rosa e o beija-flor,Matheus e Kauan,Sertanejo,Na praia,2016
Te assumi pro Brasil,Matheus e Kauan,Sertanejo,Intensamente hoje!,2018
De sol a sol,Matheus e Kauan,Sertanejo,Intensamente hoje!,2018
Que sorte a nossa,Matheus e Kauan,Sertanejo,Face a Face,2015
Só não deixa saudade,Ana Castela,Música pop e sertaneja,Boiadeira Internacional,2024
Nosso quadro,Ana Castela,Música pop e sertaneja,AgroPlay Verão Vol.1,2023
Alerta de golpe,Ana Castela,Música pop e sertaneja,Boiadeira Internacional,2024
Fronteira,Ana Castela,Música pop e sertaneja,Boiadeira internacional vol. 3,2023
Oi balde,Zé Neto & Cristiano,Sertanejo,Escolhas,2023
Barulho do Foguete,Zé Neto & Cristiano,Sertanejo,Escolhas,2023
Symphony,DaisukeIshiwatar,mistura de rock e metal,Guilty Gear OST,2021
Purchasable Loyalty,HOYO-MiX,"electronic,ambient e elementos de pop contemporâneo",Zenless Zone Zero OST,2024
Skinnyman,Static-X,"Metal industrial, Nu metal",Start a War,2005
That All About Your Fear,Chikoi The Maid,Instrumental,Insertion,2023
Keep Rollin,Limp Bizkit,"Nu Metal, Rap Metal",Chocolate Starfish and the Hot Dog Flavored Water,2000
Back on a Mission,Cirrus,"Breakbeat, Eletrônica",Back on a Mission,1998
200 Hits Per Minute,Madoi The Maid,Eletrônica,,2024
Vessel to be Fueled,Vbuh,Eletrônica,,2024
It's Going Down Now,"Atlus Sound Team, Azumi Takahashi & Lotus Juice","J-Rap, Eletrônica",Persona 3 Reload (Original Soundtrack),2024
